Network,n,edges,density,mean_degree,num_components,giant_component_%,avg_clustering,avg_path_length,diameter,small-world_sigma,assortativity
full,91,2048,0.5001221001221001,45.010989010989015,10,90.10989010989012,0.7508575681159128,1.394459500150557,3,1.6077512622683607,-0.21313115398756496
T,91,902,0.22026862026862026,19.824175824175825,9,91.20879120879121,0.5331046779330015,1.987364090508375,5,2.136821441403904,0.004226681880611086
E,91,1392,0.33992673992673994,30.593406593406595,9,90.10989010989012,0.6603441611486411,1.6627521830773864,4,1.9312990530710743,-0.019382533556916444
S,91,2048,0.5001221001221001,45.010989010989015,11,89.01098901098901,0.743191252216281,1.4419753086419753,5,1.5612172066567183,-0.09357927593718222
V,91,2048,0.5001221001221001,45.010989010989015,12,87.91208791208791,0.7416154799693695,1.3863924050632912,4,1.622225832498855,-0.08791315417695186
