ResponseID,in_giant_component,degree,weighted_degree,degree_centrality,closeness_centrality,betweenness_centrality,eigenvector_centrality,pagerank,harmonic_centrality,clustering_unweighted,clustering_weighted,T,E,S,V,opinion_mean
11,True,28,21.066857291341254,0.3111111111111111,0.6,0.0010943243795990187,0.05651600274665982,0.0071690957771990745,54.333333333333336,0.873015873015873,0.7170410663306861,0.8,0.8,0.9333333333333332,0.5333333333333333,0.7666666666666666
12,True,39,30.001838759240037,0.43333333333333335,0.6532258064516129,0.0006007829190131051,0.08122508656571685,0.009252425010261927,59.833333333333336,0.9284750337381916,0.7714414439054949,0.5333333333333333,0.9333333333333332,0.6,0.8,0.7166666666666666
13,True,57,45.77707410969171,0.6333333333333333,0.7714285714285715,0.0032829590056928084,0.11769527419079658,0.013283047753315468,69.0,0.8339598997493735,0.7110615967260434,0.9333333333333332,1.0666666666666669,1.3333333333333333,1.6666666666666667,1.25
14,True,50,39.24862379094939,0.5555555555555556,0.7232142857142857,0.0022585947445367435,0.10519844715832888,0.011661689473353757,65.5,0.9053061224489796,0.7602927750063555,0.8,0.6,1.1333333333333333,1.2,0.9333333333333333
16,True,46,35.85403112505913,0.5111111111111112,0.6982758620689655,0.003677208292212012,0.09618448428105866,0.010958350116413447,63.5,0.8995169082125604,0.7536756177278103,1.2,0.6666666666666666,1.2666666666666666,1.2666666666666666,1.1
17,True,9,6.748343054312934,0.1,0.5126582278481012,0.0,0.018565249886227354,0.003459939705958683,44.16666666666667,1.0,0.818365113228954,1.2666666666666666,0.3333333333333333,1.0,1.3333333333333333,0.9833333333333332
18,True,50,39.028899429923236,0.5555555555555556,0.7232142857142857,0.0009081924609233324,0.10449348155256599,0.011480903904596726,65.5,0.9126530612244896,0.7623646068569637,0.2666666666666666,0.7333333333333333,1.2666666666666666,1.3333333333333333,0.8999999999999999
19,True,52,40.80875214197217,0.5777777777777778,0.7363636363636363,0.002234050414047178,0.10714690390087203,0.012020484262280981,66.5,0.8695324283559578,0.7300508792621961,0.7333333333333333,1.2,1.0,1.8,1.1833333333333333
20,True,56,44.71393482657294,0.6222222222222222,0.7641509433962265,0.0015968991948565564,0.11893908876136061,0.012902589834393604,68.5,0.8909090909090909,0.7562769643582123,1.0,0.9333333333333332,1.5333333333333334,1.8666666666666667,1.3333333333333335
21,True,68,56.4252575138275,0.7555555555555555,0.8617021276595744,0.005190062227512246,0.14099541483443528,0.01597551628198613,74.5,0.7897278314310799,0.6865504006699731,0.8666666666666667,1.5333333333333334,1.9333333333333331,2.0,1.5833333333333335
