analysis,respondents,selected_percentile,tau,edges,density,components,gcc_size,gcc_pct,average_clustering,gcc_average_path_length,gcc_diameter
median_imputed_primary,91,50,0.7313831039322911,2048,0.5001221001221001,10,82,90.10989010989012,0.7508575681159128,1.394459500150557,3
listwise_complete_cases,68,50,0.7368669276983828,1139,0.5,8,61,89.70588235294117,0.7422755091243884,1.3868852459016394,3
