degree,mean_neighbor_degree,std_neighbor_degree,node_count
0,0.0,0.0,9
1,67.0,5.656854249492381,2
3,61.666666666666664,0.0,1
5,59.4,0.0,1
8,70.125,0.0,1
9,63.333333333333336,0.0,1
11,59.27272727272727,0.0,1
20,64.175,2.580939751330895,2
22,63.22727272727273,0.0,1
23,64.1304347826087,0.0,1
24,62.041666666666664,0.0,1
28,64.21428571428571,2.7274118702909695,2
29,65.62068965517241,0.0,1
30,62.483333333333334,0.8720983634634093,2
35,63.542857142857144,0.0,1
36,61.19444444444444,0.0,1
38,64.65789473684211,0.0,1
39,62.98076923076923,0.8370070240285119,4
42,61.86904761904762,1.9697974618768128,2
45,61.988888888888894,1.9641855032959634,2
46,61.53260869565217,0.3842971636883393,2
48,59.895833333333336,0.0,1
49,61.795918367346935,0.0,1
50,61.155,0.9223701353939556,4
51,60.25490196078431,0.8873496861948875,2
52,60.07692307692308,0.0,1
53,60.0377358490566,0.3201992971410768,2
55,60.018181818181816,0.0,1
56,60.57142857142857,0.0,1
57,58.421052631578945,0.0,1
58,58.94827586206897,0.4145108717300464,2
59,59.33898305084746,0.0,1
60,56.75,0.0,1
61,58.84016393442623,0.29367454278136773,4
63,57.58730158730159,0.5387480237611771,2
64,57.2265625,0.4308931947855524,2
65,57.13846153846154,0.17405705383053416,2
66,56.0050505050505,0.08344803859524634,3
67,56.3134328358209,0.0,1
68,56.15196078431372,0.3644963028435551,3
69,55.07246376811594,0.5113019378387024,4
70,55.32142857142857,0.5959900012858035,2
71,54.84788732394365,0.24706168520105773,5
73,54.0958904109589,0.0,1
74,53.56756756756757,0.07021827598252069,3
75,53.10666666666667,0.1697056274847703,2
