scenario,nodes,edges,isolates,mean_degree_all_nodes,mean_per_node_neighbor_degree_nonisolates,neighbor_minus_own_mean,edge_endpoint_mean_neighbor_degree_k2_over_k,fraction_nonisolates_with_neighbor_degree_gt_own,median_neighbor_degree_minus_own_nonisolates,target_mean_degree,poisson_reference_target_mean_degree_plus_1,poisson_reference_realized_mean_degree_plus_1,finite_binomial_reference_1_plus_n_minus_2_p,matched_p
real_opinion_network,91,2048,9,45.010989010989015,59.44959012222833,14.438601111239315,58.1435546875,0.573170731707317,5.914751286449398,45.010989010989015,46.010989010989015,46.010989010989015,45.51086691086691,0.5001221001221001
matched_er_seed_42,91,2009,0,44.15384615384615,44.69887186528034,0.5450257114341852,44.6854156296665,0.5164835164835165,0.11363636363636687,45.010989010989015,46.010989010989015,45.15384615384615,45.51086691086691,0.5001221001221001
