removed_count,fraction_removed,random_failure_mean_gcc_fraction,random_failure_std_gcc_fraction,degree_attack_gcc_size,degree_attack_gcc_fraction,betweenness_attack_gcc_size,betweenness_attack_gcc_fraction
0,0.0,0.9010989010989011,0.0,82,0.9010989010989011,82,0.9010989010989011
1,0.01098901098901099,0.8910989010988996,0.004160372414505712,81,0.8901098901098901,80,0.8791208791208791
2,0.02197802197802198,0.8806593406593389,0.004690933507276799,80,0.8791208791208791,78,0.8571428571428571
3,0.03296703296703297,0.8698901098901097,0.005347118564547185,79,0.8681318681318682,77,0.8461538461538461
4,0.04395604395604396,0.8596703296703297,0.006219265989528062,78,0.8571428571428571,76,0.8351648351648352
5,0.054945054945054944,0.8494505494505487,0.006897207851218092,77,0.8461538461538461,75,0.8241758241758241
6,0.06593406593406594,0.8390109890109878,0.008021438208755172,76,0.8351648351648352,74,0.8131868131868132
7,0.07692307692307693,0.8287912087912084,0.008580559870541201,75,0.8241758241758241,73,0.8021978021978022
8,0.08791208791208792,0.8187912087912088,0.009039533098353885,74,0.8131868131868132,72,0.7912087912087912
9,0.0989010989010989,0.8087912087912085,0.009500727684107283,72,0.7912087912087912,71,0.7802197802197802
10,0.10989010989010989,0.7986813186813181,0.010107862948105539,71,0.7802197802197802,70,0.7692307692307693
11,0.12087912087912088,0.7882417582417576,0.010691385256425986,70,0.7692307692307693,69,0.7582417582417582
12,0.13186813186813187,0.7785714285714284,0.011085710623854342,69,0.7582417582417582,68,0.7472527472527473
13,0.14285714285714285,0.7684615384615383,0.011182119448899918,68,0.7472527472527473,67,0.7362637362637363
14,0.15384615384615385,0.7583516483516481,0.011098906593954749,67,0.7362637362637363,65,0.7142857142857143
15,0.16483516483516483,0.7479120879120873,0.011564464407552122,66,0.7252747252747253,64,0.7032967032967034
16,0.17582417582417584,0.7378021978021974,0.012594458241647333,65,0.7142857142857143,63,0.6923076923076923
17,0.18681318681318682,0.7276923076923074,0.012551771617336898,64,0.7032967032967034,62,0.6813186813186813
18,0.1978021978021978,0.7172527472527471,0.013054335100692009,63,0.6923076923076923,61,0.6703296703296703
19,0.2087912087912088,0.7069230769230767,0.01269430289462525,62,0.6813186813186813,60,0.6593406593406593
20,0.21978021978021978,0.6971428571428566,0.013097712077303893,61,0.6703296703296703,59,0.6483516483516484
21,0.23076923076923078,0.6873626373626374,0.013009407163248462,60,0.6593406593406593,58,0.6373626373626373
22,0.24175824175824176,0.6767032967032967,0.013084667472155144,59,0.6483516483516484,57,0.6263736263736264
23,0.25274725274725274,0.6668131868131871,0.012962912138636666,58,0.6373626373626373,55,0.6043956043956044
24,0.26373626373626374,0.6572527472527468,0.013855735302487897,57,0.6263736263736264,54,0.5934065934065934
