degree_threshold_k,nodes_with_degree_gt_k,observed_phi,null_phi_mean,null_phi_std,normalized_phi,empirical_p_one_sided,null_realizations,swaps_per_null_min
0,82,0.6166817223727793,0.6166817223727795,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
1,80,0.6474683544303798,0.64746835443038,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
2,80,0.6474683544303798,0.64746835443038,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
3,79,0.6630963972736125,0.6630963972736125,0.0,1.0,1.0,30,4096
4,79,0.6630963972736125,0.6630963972736125,0.0,1.0,1.0,30,4096
5,78,0.6786546786546787,0.6786546786546785,1.1292025708167404e-16,1.0000000000000002,1.0,30,4096
6,78,0.6786546786546787,0.6786546786546785,1.1292025708167404e-16,1.0000000000000002,1.0,30,4096
7,78,0.6786546786546787,0.6786546786546785,1.1292025708167404e-16,1.0000000000000002,1.0,30,4096
8,77,0.69377990430622,0.6937799043062198,2.2584051416334807e-16,1.0000000000000002,1.0,30,4096
9,76,0.7091228070175438,0.7091228070175436,2.2584051416334807e-16,1.0000000000000002,1.0,30,4096
10,76,0.7091228070175438,0.7091228070175436,2.2584051416334807e-16,1.0000000000000002,1.0,30,4096
11,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
12,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
13,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
14,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
15,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
16,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
17,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
18,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
19,75,0.7243243243243244,0.7243243243243246,2.2584051416334807e-16,0.9999999999999997,1.0,30,4096
20,73,0.7496194824961948,0.7496194824961945,3.387607712450221e-16,1.0000000000000004,1.0,30,4096
21,73,0.7496194824961948,0.7496194824961945,3.387607712450221e-16,1.0000000000000004,1.0,30,4096
22,72,0.7621283255086072,0.762141366718831,7.142965017020036e-05,0.9999828887253818,1.0,30,4096
23,71,0.7746478873239436,0.7747015425888667,0.00013913316041923573,0.9999307407279147,1.0,30,4096
24,70,0.7875776397515528,0.7872325741890959,0.00015695611668300587,1.0004383273428596,0.1935483870967742,30,4096
25,70,0.7875776397515528,0.7872325741890959,0.00015695611668300587,1.0004383273428596,0.1935483870967742,30,4096
26,70,0.7875776397515528,0.7872325741890959,0.00015695611668300587,1.0004383273428596,0.1935483870967742,30,4096
27,70,0.7875776397515528,0.7872325741890959,0.00015695611668300587,1.0004383273428596,0.1935483870967742,30,4096
28,68,0.8116769095697981,0.8100673105062922,0.00023997904898616986,1.001986994219653,0.03225806451612903,30,4096
29,67,0.8231569425599277,0.8215588723051414,0.0002844008253414083,1.001945168275406,0.03225806451612903,30,4096
30,65,0.8471153846153846,0.8446955128205129,0.0004278451858962601,1.002864785899941,0.03225806451612903,30,4096
31,65,0.8471153846153846,0.8446955128205129,0.0004278451858962601,1.002864785899941,0.03225806451612903,30,4096
32,65,0.8471153846153846,0.8446955128205129,0.0004278451858962601,1.002864785899941,0.03225806451612903,30,4096
33,65,0.8471153846153846,0.8446955128205129,0.0004278451858962601,1.002864785899941,0.03225806451612903,30,4096
34,65,0.8471153846153846,0.8446955128205129,0.0004278451858962601,1.002864785899941,0.03225806451612903,30,4096
35,64,0.8571428571428571,0.8543485449735453,0.0004957465883502115,1.0032706934257123,0.03225806451612903,30,4096
36,63,0.8668714797747056,0.8637651476361156,0.0006578325371137872,1.003596269364527,0.03225806451612903,30,4096
37,63,0.8668714797747056,0.8637651476361156,0.0006578325371137872,1.003596269364527,0.03225806451612903,30,4096
38,62,0.8751983077736647,0.8724131852635292,0.0009514044317478758,1.0031924351410326,0.03225806451612903,30,4096
39,58,0.9128856624319419,0.9064125831820928,0.0014831218768727328,1.0071414269505443,0.03225806451612903,30,4096
40,58,0.9128856624319419,0.9064125831820928,0.0014831218768727328,1.0071414269505443,0.03225806451612903,30,4096
41,58,0.9128856624319419,0.9064125831820928,0.0014831218768727328,1.0071414269505443,0.03225806451612903,30,4096
42,56,0.9305194805194805,0.9208658008658006,0.0016063444468171612,1.0104832643851074,0.03225806451612903,30,4096
43,56,0.9305194805194805,0.9208658008658006,0.0016063444468171612,1.0104832643851074,0.03225806451612903,30,4096
44,56,0.9305194805194805,0.9208658008658006,0.0016063444468171612,1.0104832643851074,0.03225806451612903,30,4096
45,54,0.944095038434661,0.9326345213137665,0.0018406675478039353,1.0122883260902145,0.03225806451612903,30,4096
46,52,0.9570135746606335,0.9440170940170935,0.0018225164086030615,1.0137672090112646,0.03225806451612903,30,4096
47,52,0.9570135746606335,0.9440170940170935,0.0018225164086030615,1.0137672090112646,0.03225806451612903,30,4096
